Epoch 121, Loss of train 0.001463, No test
Epoch 122, Loss of train 0.001502, No test
Epoch 123, Loss of train 0.00145, No test
Epoch 124, Loss of train 0.001461, No test
Epoch 125, Loss of train 0.001444, No test
Epoch 126, Loss of train 0.001469, No test
Epoch 127, Loss of train 0.001467, No test
Epoch 128, Loss of train 0.001437, No test
Epoch 129, Loss of train 0.001435, No test
Epoch 130, Loss of train 0.001438, No test
Epoch 131, Loss of train 0.001461, No test
Epoch 133, Loss of train 0.001442, No test
Epoch 134, Loss of train 0.001437, No test
Epoch 135, Loss of train 0.001469, No test
Epoch 136, Loss of train 0.001432, No test
Epoch 137, Loss of train 0.001449, No test
Epoch 138, Loss of train 0.001453, No test
Epoch 139, Loss of train 0.001476, No test
Epoch 140, Loss of train 0.00147, No test
Epoch 142, Loss of train 0.001447, No test
Epoch 143, Loss of train 0.001452, No test
Epoch 144, Loss of train 0.001444, No test
Epoch 145, Loss of train 0.001478, No test
Epoch 146, Loss of train 0.001445, No test
Epoch 147, Loss of train 0.001417, No test
Epoch 148, Loss of train 0.001484, No test
Epoch 149, Loss of train 0.001466, No test
Epoch 150, Loss of train 0.001462, No test
Epoch 151, Loss of train 0.001445, No test
Epoch 152, Loss of train 0.001469, No test
Epoch 154, Loss of train 0.001442, No test
Epoch 156, Loss of train 0.001462, No test
Epoch 157, Loss of train 0.00144, No test
Epoch 158, Loss of train 0.001447, No test
Epoch 159, Loss of train 0.001451, No test
Epoch 160, Loss of train 0.001448, No test
Epoch 162, Loss of train 0.001442, No test
Epoch 163, Loss of train 0.001443, No test
Epoch 164, Loss of train 0.001437, No test
Epoch 165, Loss of train 0.001449, No test
Epoch 166, Loss of train 0.001456, No test
Epoch 167, Loss of train 0.001433, No test
Epoch 168, Loss of train 0.001443, No test
Epoch 170, Loss of train 0.001441, No test
Epoch 171, Loss of train 0.001403, No test
Epoch 172, Loss of train 0.001461, No test
Epoch 174, Loss of train 0.001443, No test
Epoch 176, Loss of train 0.00145, No test
Epoch 177, Loss of train 0.001408, No test
Epoch 178, Loss of train 0.001457, No test
Epoch 179, Loss of train 0.001443, No test
Epoch 180, Loss of train 0.001403, No test
Epoch 181, Loss of train 0.001396, No test
Epoch 182, Loss of train 0.001441, No test
Epoch 183, Loss of train 0.00146, No test
Epoch 184, Loss of train 0.001439, No test
Epoch 185, Loss of train 0.001404, No test
Epoch 186, Loss of train 0.001449, No test
Epoch 187, Loss of train 0.001435, No test
Epoch 188, Loss of train 0.001432, No test
Epoch 189, Loss of train 0.001439, No test
Epoch 190, Loss of train 0.001451, No test
Epoch 191, Loss of train 0.001464, No test
Epoch 192, Loss of train 0.00144, No test
Epoch 193, Loss of train 0.001461, No test
Epoch 194, Loss of train 0.001434, No test
Epoch 195, Loss of train 0.001442, No test
Epoch 196, Loss of train 0.001451, No test
Epoch 197, Loss of train 0.001441, No test
Epoch 198, Loss of train 0.001436, No test
Epoch 199, Loss of train 0.001443, No test
Epoch 200, Loss of train 0.001426, No test
